team,era,win_pct
Los Angeles Lakers,1980s,72.4
Los Angeles Lakers,1990s,62.1
Los Angeles Lakers,2000s,63.4
Los Angeles Lakers,2010s,66.2
San Antonio Spurs,1980s,49.0
San Antonio Spurs,1990s,62.6
San Antonio Spurs,2000s,69.9
San Antonio Spurs,2010s,75.0
Phoenix Suns,1980s,53.4
Phoenix Suns,1990s,63.7
Phoenix Suns,2000s,60.0
Phoenix Suns,2010s,49.3
Utah Jazz,1980s,49.8
Utah Jazz,1990s,68.8
Utah Jazz,2000s,56.0
Utah Jazz,2010s,50.7
Boston Celtics,1980s,71.1
Boston Celtics,1990s,45.7
Boston Celtics,2000s,54.3
Boston Celtics,2010s,64.2
Portland Trail Blazers,1980s,56.5
Portland Trail Blazers,1990s,62.8
Portland Trail Blazers,2000s,50.6
Portland Trail Blazers,2010s,51.4
Detroit Pistons,1980s,56.8
Detroit Pistons,1990s,50.0
Detroit Pistons,2000s,58.8
Detroit Pistons,2010s,37.2
Houston Rockets,1980s,49.0
Houston Rockets,1990s,59.0
Houston Rockets,2000s,54.6
Houston Rockets,2010s,52.0
Chicago Bulls,1980s,48.0
Chicago Bulls,1990s,66.0
Chicago Bulls,2000s,41.6
Chicago Bulls,2010s,75.7
Philadelphia 76ers,1980s,64.5
Philadelphia 76ers,1990s,38.3
Philadelphia 76ers,2000s,49.3
Philadelphia 76ers,2010s,51.4
Dallas Mavericks,1980s,49.4
Dallas Mavericks,1990s,30.3
Dallas Mavericks,2000s,68.7
Dallas Mavericks,2010s,62.8
Milwaukee Bucks,1980s,63.0
Milwaukee Bucks,1990s,41.2
Milwaukee Bucks,2000s,46.3
Milwaukee Bucks,2010s,44.6
